Designator,Mid X,Mid Y,Layer,Rotation
C1,142.7900mm,-183.0000mm,Top,0
C2,149.4200mm,-183.0000mm,Top,90
C3,192.0000mm,-183.3700mm,Top,0
C4,200.0000mm,-183.0000mm,Top,90
C5,203.0500mm,-175.6125mm,Top,90
C6,213.0000mm,-176.0000mm,Top,90
C7,220.0000mm,-183.0000mm,Top,90
C8,223.0000mm,-183.0000mm,Top,90
C10,141.0000mm,-149.0000mm,Top,0
C11,151.0000mm,-149.0000mm,Top,0
C12,142.0000mm,-116.0000mm,Top,0
C13,166.0000mm,-144.0000mm,Top,0
C14,171.0000mm,-144.0000mm,Top,0
C15,142.0000mm,-120.0000mm,Top,0
C16,147.0000mm,-120.0000mm,Top,0
C17,152.0000mm,-120.0000mm,Top,0
C18,162.0000mm,-120.0000mm,Top,0
C19,167.0000mm,-120.0000mm,Top,0
C20,172.0000mm,-120.0000mm,Top,0
C21,177.0000mm,-120.0000mm,Top,0
C22,124.0000mm,-149.0000mm,Top,0
C23,134.0000mm,-149.0000mm,Top,0
C24,124.4300mm,-122.0000mm,Top,90
C25,124.0000mm,-145.0000mm,Top,0
C26,110.0000mm,-147.1500mm,Top,0
C27,116.0000mm,-147.1500mm,Top,0
C28,175.0000mm,-141.0000mm,Top,0
C29,180.0000mm,-141.0000mm,Top,0
C30,172.0000mm,-124.0000mm,Top,90
C31,178.0000mm,-124.0000mm,Top,90
C32,185.0000mm,-141.0000mm,Top,0
C33,185.0000mm,-145.0000mm,Top,0
C34,172.0000mm,-114.0000mm,Top,0
C35,177.0000mm,-114.0000mm,Top,0
C36,182.0000mm,-114.0000mm,Top,0
C40,129.0000mm,-118.0000mm,Top,0
C41,135.0000mm,-122.0000mm,Top,90
D1,131.9550mm,-183.0000mm,Top,0
D2,123.1100mm,-183.0000mm,Top,0
D3,171.3950mm,-188.7500mm,Top,0
D4,111.0000mm,-173.0000mm,Top,0
D5,170.0000mm,-110.0000mm,Top,0
D6,175.0000mm,-110.0000mm,Top,0
D7,180.0000mm,-110.0000mm,Top,0
F1,118.0350mm,-183.0000mm,Top,90
FB1,216.0000mm,-183.0000mm,Top,0
FB2,216.0000mm,-187.0000mm,Top,0
FB3,112.0000mm,-116.0000mm,Top,0
J1,110.0000mm,-180.0000mm,Top,180
J2,140.0000mm,-107.0000mm,Top,90
J3,157.0000mm,-107.0000mm,Top,90
J4,113.5000mm,-132.0000mm,Top,-90
J5,214.0000mm,-147.0000mm,Top,90
L1,179.0000mm,-180.0000mm,Top,0
R1,106.0000mm,-172.7550mm,Top,90
R2,147.0000mm,-116.0000mm,Top,90
R3,152.0000mm,-116.0000mm,Top,90
R4,156.0000mm,-116.0000mm,Top,90
R5,160.0000mm,-116.0000mm,Top,90
R6,164.0000mm,-116.0000mm,Top,90
R7,170.0000mm,-106.0000mm,Top,0
R8,175.0000mm,-106.0000mm,Top,0
R9,180.0000mm,-106.0000mm,Top,0
R10,137.0000mm,-138.0000mm,Top,90
R11,124.4300mm,-126.0000mm,Top,90
R12,135.0000mm,-126.0000mm,Top,90
R13,106.0000mm,-116.0000mm,Top,0
R14,118.0000mm,-116.0000mm,Top,0
R15,124.0000mm,-142.0000mm,Top,90
R17,122.5700mm,-122.0000mm,Top,90
R18,122.5700mm,-127.0000mm,Top,90
R19,123.0000mm,-132.0000mm,Top,90
R20,123.0000mm,-137.0000mm,Top,90
R21,175.0000mm,-124.0000mm,Top,90
R22,181.0000mm,-124.0000mm,Top,90
R23,188.5000mm,-109.0000mm,Top,90
R24,188.5000mm,-114.0000mm,Top,90
R25,188.5000mm,-122.0000mm,Top,90
R26,186.0000mm,-154.0000mm,Top,90
R27,186.0000mm,-159.0000mm,Top,90
R28,188.5000mm,-133.0000mm,Top,90
R29,188.5000mm,-138.0000mm,Top,90
R30,188.5000mm,-146.0000mm,Top,90
R31,186.0000mm,-164.0000mm,Top,90
R32,186.0000mm,-169.0000mm,Top,90
T1,196.0000mm,-112.0000mm,Top,0
T2,196.0000mm,-124.0000mm,Top,0
T3,196.0000mm,-136.0000mm,Top,0
T4,196.0000mm,-148.0000mm,Top,0
U1,161.0000mm,-182.0000mm,Top,0
U2,207.0000mm,-181.3875mm,Top,0
U3,157.0000mm,-130.0000mm,Top,0
U4,129.0000mm,-132.0000mm,Top,0
U5,180.0000mm,-132.0000mm,Top,0
U6,193.0000mm,-155.0000mm,Top,0
U7,193.0000mm,-161.5000mm,Top,0
U8,193.0000mm,-168.0000mm,Top,0
U9,193.0000mm,-174.5000mm,Top,0
Y1,146.0000mm,-144.0000mm,Top,0
Y2,129.0000mm,-144.0000mm,Top,0
